,industry,title,company,logo,raw description
13,Entertainment,Communications/ Design Intern,ASM Global,https://media.licdn.com/dms/image/D560BAQEjl0Wpi5U7yQ/company-logo_100_100/0/1665682240517?e=2147483647&v=beta&t=LfiY9AxMdwoK4SwcdD0fBNI-hCF-52hx9yhhCRJvmwI,"Summary:

Assists in marketing communications efforts while working in design software such as Adobe and Canva to create marketing assets such as posters, billboards, flyers, and other print materials. This position is a paid part-time position ($15/hr) with flexible hours to work around class schedules if needed. This position will report directly to the Marketing Manager of The Sanford Center.

Essential Duties / Responsibilities:

Creating and scheduling social media posts to help boost engagement
Designing assets for billboards, print material, and meta and Google ads
Street marketing (delivering print ads around town)
Works with Marketing Manager to come up with creative and fun marketing campaigns to boost engagement online and increase ticket sales
Monitoring social media comments
Assists Marketing Manager in all marketing efforts Skills / Abilities:
Knowledge of Meta / Google Ads
Knowledge of how to use Adobe Creative Cloud products (Photoshop, InDesign, Illustrator)
Knowledge of how to use Canva
Excellent verbal / written communication
Knowledge of Microsoft
Ability to prioritize projects

Note

The essential responsibilities of this position are described under the headings above. They may be subject to change at any time due to reasonable accommodation or other reasons. Also, this document in no way states or implies that these are the only duties to be performed by the employee occupying this position.

ASM is an Equal Opportunity/Affirmative Action employer, and encourages Women, Minorities, Individuals with Disabilities, and protected Veterans to apply. VEVRAA Federal Contractor."
14,Events Services,Graphic Design Internship '23,DAYBREAKER,https://media.licdn.com/dms/image/C4E0BAQG843oZsmHaLg/company-logo_100_100/0/1617725098672/daybreaker_logo?e=2147483647&v=beta&t=DOFejk9zqc36aGu3-Xt667-9sRlydTwgl3fR0vscE48,"Daybreaker is looking to bring on a stellar Graphic Design Intern for the summer to join our powerhouse team that is rolling out amazing projects in the next few months. Please share a link to your portfolio — we will not consider you without a link to your work.

Daybreaker is a growing movement with a ton of projects to work on. From our city expansion, to global partnerships (from GE, Casper, IBM, New Balance, and more), to event collateral and social media branding the opportunities to build your portfolio are huge!

Day To Day Duties

Creating digital and print promotional material events
Maintaining & organizing photo library
Working on social media & content channel graphics and conceptualization
Supporting social media management, engagement and community building
Assisting the team with any and all needs (we are a family and we help each other out)

We’re looking to support the growth of a bright student who is looking to dive in and flex their creative muscles.

Requirements

YOU'LL NEED //

Proficient in Adobe Photoshop + Illustrator (all other Adobe CS programs are pluses)
Social Media Savvy.
Works well under pressure and short time frames.
Hard working
Outgoing
Passionate
Creative

Benefits

GET READY TO //

Join the hardworking and tight-knit Daybreaker HQ team at our beautiful sunlit office in Williamsburg, Brooklyn!
Build a brand whose mission is to inspire people to live happier and healthier lives, to break out of their shells and fully express themselves, to practice mindfulness and empathy every day, and to wake up once a month to dance their faces off of feel gloriously good while doing so
Work alongside Daybreaker co-founders and serial social entrepreneurs Radha Agrawal (Co-Founder of THINX & Super Sprowtz)
Collaborate with an international community of amazing Producers committed to growing the Daybreaker movement and creating unique experiences around the world — you can consider these folks your new global family
Invitations to exclusive events such as art exhibitions, underground dance parties, startup mixers, family dinners, and mindful experiences
Build on support from our PR team, who has landed Daybreaker major features in leading publications like The New York Times, GQ, Saturday Night Live, and The Washington Post
Collaborate with the incredible Daybreaker producers around the world to help sell out their events!

If this sounds like your dream job, and you're serious about the role,then we would love to receive your application. We're excited to chat with you!"
15,"Architecture and Planning, Civil Engineering, and Design Services",Architecture Intern,Cushing Terrell,https://media.licdn.com/dms/image/C560BAQHUIB2ibeiwRw/company-logo_100_100/0/1579292961666/cushing_terrell_logo?e=2147483647&v=beta&t=Q-7AkyrWdrFDIF8zrsnmcGvE6zvVbh14nxXKNMyMKzU,"Ready to design with us?

As a Cushing Terrell Intern, you will work on environments that push the boundaries of cutting-edge design as well as see great opportunities for leadership and career growth. You will be a part of a collaborative team of talented designers, engineers, and business professionals across our 14 offices located throughout the United States, to achieve integrated, forward-thinking, and award-winning design solutions.

At this time we do not have any open internship positions, however we are always looking for great candidates.

What you will bring to the table:

Working towards an Accredited Professional Degree in relevant Architectural field
A desire to expand the technical expertise of our team
A passion for knowledge transfer, work sharing, and standards development
Excellent oral and written communication skills

As a Team Member at Cushing Terrell, you will…

Have proficiency in a variety of software applications to include: Revit, AutoCAD, Bluebeam and Microsoft Office
Strong mathematical, analytical and problem-solving skills
Use basic design criteria furnished by an experienced architect or engineer and under their supervision prepare clear, concise, readable drawings and BIM models including model setup, input, and red-line correction changes
Conduct basic materials research and specification preparation and writing
Assist with cost estimating take offs and data input
Assist with or provide on-site construction observation on simple projects
May lead small projects under the direction and supervision of a supervisor
Attend weekly classes and watch training videos
Work alongside and learn from professionals in parallel disciplines
Work with project teams spanning several of our offices across the nation
Work with a variety of local and national clients
Visits to construction sites with project leaders (dependent upon project phase and time of year)

The majority of the time a person in this role will be sitting in an office with limited physical requirements. This may require individuals to bend, stretch, twist and reach. On occasion individuals will be required to visit a client site to perform site verifications and field surveys.

Compensation

The expected salary range for this position $18 to $22 hourly is based on the location/s posted. If you are a candidate living outside of (this region/these regions), we still encourage you to apply as salary ranges may differ across states/cities/job markets.

Actual pay will be determined based on your years of experience, licensure status, location, level of proficiency, and other job-related factors (as permitted by law). The position is also eligible for an annual performance bonus.

We are Cushing Terrell

As a fully integrated firm, offering a balance of architecture and the full spectrum of engineering services, our firm commands unique resources to support our on-going drive to be an acknowledged pioneer at the forefront of engineering, architecture, planning, and design across the country – ranking within the top of ENR’s best AE firms.

At Cushing Terrell, we empower our people to be creative pioneers. Our business is built around integrity, design ingenuity, and growth – to shape a new world and to discover imaginative, responsible, and exceptional environments.

Equity

We embrace diversity and equality in a serious way. We are committed to building a team with a variety of backgrounds, skills, and views. The more inclusive we are, the better our work will be.

Cushing Terrell is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to actual or perceived race, age, color, religious creed, sex or gender, sexual orientation, gender identity or expression, marital status, national origin, ancestry, citizenship status, physical or mental disability, military status or status as a protected veteran, or any other characteristic protected by applicable federal, state, or local laws and ordinances. Applicants must be currently authorized to work in the United States on a full-time basis.

If you need assistance or an accommodation while seeking employment with us, please call 406.248.7455. We will make a determination on your request for reasonable accommodation on a case-by-case basis. If you are having difficulty applying through an external website, please visit www.cushingterrell.com/joinus/."
16,Retail,"Design Intern (Starting Summer, 2024)",Target,https://media.licdn.com/dms/image/C4E0BAQGUjozudTh0yg/company-logo_100_100/0/1519856213195?e=2147483647&v=beta&t=GSter_NWoJPup9MF7Ps0amvobg82FwDfcx0APoWpbyo,"Description

OBPD&P Internship

Join a groundbreaking and visionary design team focused on areas such as apparel design, accessory design, home and graphic/textile design.
Gain experience within a corporate design environment and help design product solutions in accordance to the Target Product Development Process
Learn alongside our best-in-class design team about execution and creation of concepts, trend research, color theory and process for product development.
Gain visibility to cross functional partner roles by working with Trend, Technical Designers, Product Engineers, Target Sourcing Services, Merchants, Visual Merchandising, Product Quality, Fabric and Color Teams
May be asked to focus on certain specific item categories or parts of the development process.
Apply your skills to help create ever evolving design solutions for our guests

Requirements

Current student working towards a Fine Arts, Textile, Industrial Design, Home Product Design, or Product Engineering degree.
Experience with relevant computer applications a plus: Adobe Creative Suite, Solid Works, In-Design, 3D CAD software
High aesthetic sensibility, attention to detail, curiosity, and ability to work well with others

Americans With Disabilities Act (ADA)

Target will provide reasonable accommodations (such as a qualified sign language interpreter or other personal assistance) with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Distribution Center or reach out to Guest Services at 1-800-440-0680 for additional information."
17,Construction,Intern - Architectural Design - Summer 2024,CRB,https://media.licdn.com/dms/image/C560BAQHMCtkTw98Ksw/company-logo_100_100/0/1581610514736/crb_consulting_engineers_logo?e=2147483647&v=beta&t=nuzBvE-MLu81lJmLDsnq0iwYIPevsikSy3MmUkoI8QM,"Company Description

CRB is a leading provider of sustainable engineering, architecture, construction and consulting solutions to the global life sciences and food and beverage industries. Our more than 1,600 employees provide best-in-class solutions that drive success and positive change for our clients, our people and our communities. CRB is a privately held company with a rich history of serving clients throughout the world, consistently striving for the highest standard of technical knowledge, creativity and execution.

Job Description

As an Architectural Intern at CRB, you'll have the unique opportunity to work within an integrated Architecture, Engineering, and Construction firm capable of executing ONEsolution integrated project delivery work. Experience collaboration and continuous learning like never before amongst subject matter experts spanning across mechanical, electrical, plumbing, process, and automation engineering; architecture and lab planning; procurement, estimation, virtual design & construction, health & safety, and construction management. This diversity of professionals allows us to provide innovative & impactful solutions to the Life Sciences and Food & Bev industry in an era where speed, quality, and creativity have never been more critical.

How will I contribute?

You will work under the direction of an assigned Architect or Architectural Designer mentor to develop and implement project deliverables. Project sizes will vary, and will consist primarily of pharmaceutical, biotech, food and beverage, or industrial projects including both existing building renovations/retrofits and new construction.

Our Architectural team focuses on the support of 3D modeling and design,

conducting field investigations, performing red-to-black markup / review tasks, and producing discipline deliverables

Responsibilities

Developing project documents and deliverables such as:
Program development and tabulation
Code assessment
Master planning
Floor plan layout
Building concepts
Ceiling plans
Elevations
Sections
Schedules, specifications, and details
Assisting with the development of conceptual designs and coordinating with the design team under the direction of the project manager
Coordinating with other disciplines and other internal and external team members (e.g., vendors, clients, and contractors).

Office Location: Irvine, CA

Work Mode: Office-based + organized project site visits across Southern California

Qualifications

Pursuit of Bachelor’s Degree or Master's Degree, in Architecture or Architectural Engineering strongly preferred
Interest in technical architectural deliverables strongly preferred
Experience with AutoCAD and Revit and 3D collaboration tools (Navisworks, BIM360 Suite, Assemble), preferred but not expected
Experience with Microsoft Office suite (Outlook, Word, Excel, Powerpoint, OneNote) preferred

Additional Information

All your information will be kept confidential according to EEO guidelines.

The pay range for a candidate selected for this position who is based in Irvine is typically $22.00/hr. The selected candidate’s pay will be based on various factors, including but not limited to work location, qualifications, and relevant experience. A housing stipend is available for students whose permanent residence exceeds 40 miles of the office.

CRB is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer and it is our policy to provide equal opportunity to all people without regard to race, color, religion, national origin, ancestry, marital status, veteran status, age, disability, pregnancy, genetic information, citizenship status, sex, sexual orientation, gender identity or any other legally protected category. Employment is contingent on background screening.

CRB does not accept unsolicited resumes from search firms or agencies. Any resume submitted to any employee of CRB without a prior written search agreement will be considered unsolicited and the property of CRB. Please, no phone calls or emails.

CRB offers a complete and competitive benefit package designed to meet individual and family needs.

If you are unable to complete this application due to a disability, contact this employer to ask for an accommodation or an alternative application process."
18,"Wireless Services, Semiconductor Manufacturing, and Telecommunications",Digital Design Summer Intern,"Skyworks Solutions, Inc.",https://media.licdn.com/dms/image/C560BAQExuWSH_ZbWVA/company-logo_100_100/0/1636053998711/skyworks_solutions_inc_logo?e=2147483647&v=beta&t=O6OKRYPoxX_SVQKhj4iMNt5kgLXP-YBuSEWefjdAi-8,"If you are looking for a challenging and exciting career in the world of technology, then look no further. Skyworks is an innovator of high performance analog semiconductors whose solutions are powering the wireless networking revolution. At Skyworks, you will find a fast-paced environment with a strong focus on global collaboration, minimal layers of management and the freedom to make meaningful contributions in a setting that encourages creativity and out-of-the-box thinking. Our work culture values diversity, social responsibility, open communication, mutual trust and respect. We are excited about the opportunity to work with you and glad you want to be part of a team of talented individuals who together can change the way the world communicates.

Requisition ID: 71135

Summary

We are seeking a Digital Design Summer Intern - 2024 interested in developing complex mixed-signal ICs for frequency control, clock generation, network synchronization, and other timing applications.

The candidate will take a supporting role and will be involved in all aspects of the design process from system conceptualization to mass production. For example, the candidate may participate in digital system architecture, block- and system-level RTL design/coding, algorithm and firmware development, digital circuit back-end (e.g. synthesis, timing closure, P&R preparation, scan insertion), firmware development (some ICs include embedded processors), digital design verification, and/or full-chip mixed-signal verification.

Responsibilities

Digital design specification, design, analysis, and HDL (Verilog/System Verilog) coding
Behavioral modeling of analog and mixed signal circuits
Digital back-end: synthesis, physical implementation (prep for P&R), static timing, scan insertion, etc.
Verification of digital sub-systems, mixed-signal sub-systems, and the entire chip using a combination of digital models/RTL, firmware, and behavioral models. Test bench development
Validation of silicon functionality, behavior, and performance

Qualifications & Education Requirements

B.S. or M.S. in Electrical (and/or Computer) Engineering pursuing further studies
Strong motivation to contribute to all facets of chip design from conceptualization to release to mass production
Working knowledge of digital IC circuit design in an HDL synthesis environment
Working knowledge of digital verification and testing techniques
Good verbal and written communication and presentation skills, positive attitude, and willingness to work on a team
Working knowledge of UNIX operating systems

Preferred Skills

Experience with digital design at geometries ranging from 130-22 nm
Experience with digital IO interfaces such at I2C, SPI, etc.
Competence in high-level languages (e.g. Matlab, C), scripting languages (e.g. Tcl, Perl, Python, SKILL), and version control systems (e.g. SVN, Perforce)
Working knowledge of System Verilog and/or UVM
Experience with embedded processor design and firmware/software development, especially for 8051 or ARM cores
Competence in exploring digital and firmware system/architecture trade-offs such as memory size (ROM, RAM, FLASH, OTP, cache), clock speed, multiple clock domains, and the necessity for dedicated logic and DSP
Experience with memory generators and MBIST
Low power design and implementation techniques

The typical pay range for an Engineering intern across the U.S. is currently USD $26.00 - $47.50 per hour and for a Non-Engineering intern across the U.S. is currently USD $22.50 - $42.00 per hour. Starting pay will depend on level of education, the ultimate job duties and requirements, and work location. Skyworks has different pay ranges for different work locations in the U.S.

Skyworks is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law."
19,"Renewable Energy Semiconductor Manufacturing, Motor Vehicle Manufacturing, and Utilities","Internship, Digital Modeling, Design Studio (Winter/Spring 2024)",Tesla,https://media.licdn.com/dms/image/C4D0BAQHUcu98SZ2TVw/company-logo_100_100/0/1607665771371/tesla_motors_logo?e=2147483647&v=beta&t=V73MbQoy04Bg6vfpdRDrY9CY_5z0AiWX5YzxY50n4ek,"What To Expect
Disclaimer: This position is expected to start around January or February 2024 and continue through the entire Spring term (i.e. through May 2024) or into Spring/Summer 2024 if available. We ask for a minimum of 12 weeks, full-time and on-site, for most internships. Please consider before submitting an application.

International Students: If your work authorization is through CPT, please consult your school on your ability to work 40 hours per week before applying. You must be able to work 40 hours per week on-site. Many students will be limited to part-time during the academic year.

Internship Program at Tesla

The Internship Recruiting Team is driven by the passion to recognize and develop emerging talent. Our year-round program places the best students in positions where they will grow technically, professionally, and personally through their experience working closely with their Manager, Mentor, and team. We are dedicated to providing an experience that allows the intern to experience life at Tesla by including them in projects that are critical to their team’s success.

Location
Tesla's Design Studio - Hawthorne, CA


About The Team
As an intern for the Digital Design team at the Tesla Design Studio, you will be primarily tasked to bridge design and engineering, as you help consistently develop the highest-quality digital prototypes for both interior and exterior of production and concept vehicles. Your role will support the design and development of Tesla vehicles while you learn to interpret and define design intent through the creation of accurate and beautiful 3D models. You will be expected to develop high quality, production-ready surfaces and be a trusted source, advisor and problem solver. It is expected that your work displays artistry, imagination and innovation.

Our world-class team operates with a non-conventional automotive product development philosophy of high interdisciplinary collaboration, flat organizational structure and technical contribution at all levels. You will be expected to challenge and be challenged, to create, and to innovate.

What You'll Do

Learn to develop 3D forms from 2D sketches and renderings
Analyze engineering criteria to aid in design surface development
Develop surface modeling techniques using Tesla standards
Support managing the organization and release of Vehicle Design data


What You'll Bring

Working towards a degree in Engineering, Architecture, Product Design, Industrial Design, or another related field
Experience with CAD modeling
Strong technical problem-solving skills
Excellent communication skills (written and verbal)
Ability to deliver results on challenging projects with tight deadlines


Benefits
Compensation and Benefits
As a full-time Tesla Intern, you will be eligible for:
Aetna PPO and HSA plans > 2 medical plan options with $0 payroll deduction
Family-building, fertility, adoption and surrogacy benefits
Dental (including orthodontic coverage) and vision plans. Both have an option with a $0 payroll contribution
Company Paid (Health Savings Account) HSA Contribution when enrolled in the High Deductible Medical Plan with HSA
Healthcare and Dependent Care Flexible Spending Accounts (FSA)
LGBTQ+ care concierge services
401(k), Employee Stock Purchase Plans, and other financial benefits
Company Paid Basic Life, AD&D, and short-term disability insurance
Employee Assistance Program
Sick time after 90 days of employment and Paid Holidays
Back-up childcare and parenting support resources
Voluntary benefits to include: critical illness, hospital indemnity, accident insurance, theft & legal services, and pet insurance
Commuter benefits
Employee discounts and perks program


Expected Compensation

$20.00 - $50.00/hour + benefits

Pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience. The total compensation package for this position may also include other elements dependent on the position offered. Details of participation in these benefit plans will be provided if an employee receives an offer of employment."
20,"Software Development, Consumer Services, and Entertainment Providers",Production Intern - Character Creation,Sony Interactive Entertainment,https://media.licdn.com/dms/image/C4D0BAQFJO00VqEb3Vg/company-logo_100_100/0/1616449168003?e=2147483647&v=beta&t=eMDrK1LSccr76wMZZvPXF4f-Uggu72zy9LU3nQND4FY,"Why PlayStation?

PlayStation isn’t just the Best Place to Play — it’s also the Best Place to Work. Today, we’re recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, acclaimed PlayStation software titles from PlayStation Studios, and more.

PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.

The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.

Location: Los Angeles, CA (Fully in Person or Fully Remote)

Santa Monica Studio is seeking a Production Intern - Character Creation to join the team behind the critically acclaimed God of War games. We are looking for a Production Intern who is excited to work alongside the video game industry's premier talent in animation, design, art and technology to create AAA content for the PlayStation!

The Production Intern will help to facilitate scheduling, asset tracking, communication and assist in a variety of tasks to maintain the infrastructure for various disciplines. The ideal candidate is an outstanding communicator, organizer, and knows his or her way around Excel, JIRA, Photoshop and the Sony hardware.

Responsibilities:

Assist production staff with day to day production issues for different departments
Work closely with various cross-departmental groups to ensure communication, delivery of assets and feedback.
Help assemble presentations for teams, take screenshots and record footage
Help to take notes in various stand-ups and meetings, disseminate information, update schedule and bug databases, the wiki and track status

Qualifications:

A Senior or graduate student currently enrolled in a BA or MA program majoring in Production Management, Fine Arts, Visual Art, Studio Art, Computer Animation, Interactive Entertainment or related field
Projected to graduate between December 2023 – June 2025
Ability to adapt quickly in a fast-paced, dynamic environment
Excellent organizational & prioritization skills, attention to detail, process knowledge and ability to multi-task
Familiarity with Microsoft Office, JIRA, Confluence, Sony hardware and Photoshop
Familiar with one or more production techniques such as SCRUM, Waterfall, Kanban, etc.
Basic understanding of the production process and pipelines of various types of design, game art, characters, environments, visual development, or animation
Must be available to work for 12 weeks from May – August or June – September
Internships are available to students who are US citizens or international students with an F-1 visa

Our intern positions offer a fixed hourly pay rate. Please note that the pay rate is exclusive to the internship period and may not reflect what pay may look like following the completion of an internship.

Please refer to our Candidate Privacy Notice for more information about how we process your personal information, and your data protection rights.

At SIE, we consider several factors when setting each role’s base pay range, including the competitive benchmarking data for the market and geographic location.

Please note that the base pay range may vary in line with our hybrid working policy and individual base pay will be determined based on job-related factors which may include knowledge, skills, experience, and location.

In addition, this role is eligible for SIE’s top-tier benefits package that includes medical, dental, vision, matching 401(k), paid time off, wellness program and coveted employee discounts for Sony products. This role also may be eligible for a bonus package. Click here to learn more.

The estimated base pay range for this role is listed below.

$33.25 — $43 USD

Please refer to our Candidate Privacy Notice for more information about how we process your personal information, and your data protection rights.

At SIE, we consider several factors when setting each role’s base pay range, including the competitive benchmarking data for the market and geographic location.

Please note that the base pay range may vary in line with our hybrid working policy and individual base pay will be determined based on job-related factors which may include knowledge, skills, experience, and location.

In addition, this role is eligible for SIE’s top-tier benefits package that includes medical, dental, vision, matching 401(k), paid time off, wellness program and coveted employee discounts for Sony products. This role also may be eligible for a bonus package. Click here to learn more.

This is a flexible role that can be remote, with varying pay ranges based on geographic location. For example, if you are based out of Seattle, the estimated base pay range for this role is listed below.

$33.25 — $43 USD

Equal Opportunity Statement:

Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to gender (including gender identity, gender expression and gender reassignment), race (including colour, nationality, ethnic or national origin), religion or belief, marital or civil partnership status, disability, age, sexual orientation, pregnancy or maternity, trade union membership or membership in any other legally protected category.

We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.

PlayStation is a Fair Chance employer and qualified applicants with arrest and conviction records will be considered for employment."
21,Retail,Experience Research Intern,"Wawa, Inc.",https://media.licdn.com/dms/image/C4E0BAQGp3sJwm9KCaA/company-logo_100_100/0/1625143333243/wawa_inc__logo?e=2147483647&v=beta&t=z-zXytF3v3DhjulfZqZ2xG2oBOllj4g5qXCdkbRW2QA,"Job Description

Job Title: Intern, Digital CX Strategy

Location: Corporate – Red Roof

Department: Marketing

Job Summary:

We’re looking for a spirited intern who is interested in experience design, usability research, human-computer interaction, and digital marketing; someone who is inquisitive, empathetic, and keenly aware of issues caused by misaligned expectations, ambiguity in controls, or a complete failure to address the needs of an end user, and – of course – eager to learn and develop skills.

The Digital CX Strategy Intern works closely with our Experience Strategy & Research Lead, as well as Experience Managers, Design Lead, and Experience Designers supporting various research, discovery, and design activities, identifying issues, highlighting opportunities, and evaluating the effectiveness of new concepts and prototypes.

Principal Duties:

Support the design and execution of qualitative research, heuristic analysis, competitive benchmarking, customer journeys, and service blueprints
Assist research analysis and reporting, delivering actionable insights that inform design requirements, prioritization of enhancements, and empower cross-functional teams to act and address the needs of customers using the website, kiosk, and/or mobile app
Assist in coordination of stakeholder interviews and collaborative workshops, developing relevant content and capturing notes from discussions
Support visual QA and user testing/validation studies
Performs other duties as assigned


Essential Functions:

Strong written, verbal, and visual presentation skills with a knack for storytelling
Keen analytical and problem-solving skills
Self-driven work ethic with a collaborative style; curious, detail-oriented, and creative
Work in a fast-paced environment and adhere to deadlines
Ability to work independently as well as within a team environment
Consistent attendance


Accepting Applications now through the end of February

Basic Qualifications:

Minimum GPA of 3.0 or Higher
Rising Junior or Rising Senior with an anticipated graduation date of December 2024, Spring 2025, December 2025 or Spring 2026.
Candidate must be available from May 20, 2024 – August 8, 2024
Pursuing Bachelor’s Degree with a concentration Human-Computer Interaction, Psychology, Design, Computer Science, Marketing, Information, Anthropology, or similar
Proficiency in Microsoft Office suite and online collaboration software (e.g., Miro/Mural)
Coursework/experience with user testing, qualitative research, and secondary research methods
Working knowledge of collaborative design techniques, rapid prototyping, UX design, UI patterns, interaction design, and information architecture
Familiar with concepts in eCommerce, UX/UI, Website and Mobile App Functionality and Digital Trends and Technology is preferred


Wawa will provide reasonable accommodation to complete an application upon request, consistent with applicable law. If you require an accommodation, please contact our Associate Service Center at asc@wawa.com or 1-800-444-9292.

Wawa, Inc. is an equal opportunity employer. Wawa maintains a work environment in which Associates are treated fairly and with respect and in which discrimination of any kind will not be tolerated. In accordance with federal, state and local laws, we recruit, hire, promote and evaluate all applicants and Associates without regard to race, color, religion, sex, age, national origin, ancestry, familial status, marital status, sexual orientation or preference, gender identity or expression, citizenship status, disability, veteran or military status, genetic information, domestic or sexual violence victim status or any other characteristic protected by applicable law. Unlawful discrimination will not be a factor in any employment decision."
22,"Software Development, Consumer Services, and Entertainment Providers",Technical Design Intern,Sony Interactive Entertainment,https://media.licdn.com/dms/image/C4D0BAQFJO00VqEb3Vg/company-logo_100_100/0/1616449168003?e=2147483647&v=beta&t=eMDrK1LSccr76wMZZvPXF4f-Uggu72zy9LU3nQND4FY,"Why PlayStation?

PlayStation isn’t just the Best Place to Play — it’s also the Best Place to Work. Today, we’re recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, acclaimed PlayStation software titles from PlayStation Studios, and more.

PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.

The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.

Location: Los Angeles, CA or Remote

Santa Monica Studio is seeking a Technical Design Intern to join our team for our Summer 2024 Internship Program!

Established in 1999, Santa Monica Studio became renowned for excellence in the action/adventure genre with the worldwide award-winning success of the 2005 release, God of War, and its subsequent sequels. God of War (2018) became one of the fastest selling PlayStation 1st-party games of all-time and has since won over 190 Game of the Year awards including DICE, BAFTA, The Game Awards, Game Developers Choice Awards, IGN, Game Informer, EW, and Variety. Our most recent title, God of War: Ragnarök (2022), has since continued this run of commercial and critical success.

Responsibilities:

Collaborate with designers, artists, and programmers to implement and troubleshoot gameplay-related systems and content
Partner with level, narrative, systems, and combat designers to create interactive objects and set pieces
Solve challenging technical problems by using creative and innovative ideas
Author complex scripted scenarios
Provides support to other designers by identifying and solving technical issues
Create tools to optimize workflow and help the design team iterate more efficiently

Qualifications:

Currently enrolled in an accredited institution, pursuing a Bachelor’s or Advanced degree majoring in a related field
Projected to graduate between December 2023 – June 2025
Experience using a text-based or visual scripting language
Ability to grasp and work with code-based proprietary tools to implement and troubleshoot gameplay systems
Knowledge of competitive products and a variety of gameplay genres, as well as a personal understanding of what makes video games fun
Strong written communication skills and the ability to convey abstract concepts
Ability to think logically with a high level of attention to detail
Must be available to work for 12 weeks from May – August or June – September
Internships are available to students who are US citizens or international students with an F-1 visa

Our intern positions offer a fixed hourly pay rate. Please note that the pay rate is exclusive to the internship period and may not reflect what pay may look like following the completion of an internship.

Please refer to our Candidate Privacy Notice for more information about how we process your personal information, and your data protection rights.

At SIE, we consider several factors when setting each role’s base pay range, including the competitive benchmarking data for the market and geographic location.

Please note that the base pay range may vary in line with our hybrid working policy and individual base pay will be determined based on job-related factors which may include knowledge, skills, experience, and location.

In addition, this role is eligible for SIE’s top-tier benefits package that includes medical, dental, vision, matching 401(k), paid time off, wellness program and coveted employee discounts for Sony products. This role also may be eligible for a bonus package. Click here to learn more.

The estimated base pay range for this role is listed below.

$33.25 — $45.75 USD

Please refer to our Candidate Privacy Notice for more information about how we process your personal information, and your data protection rights.

At SIE, we consider several factors when setting each role’s base pay range, including the competitive benchmarking data for the market and geographic location.

Please note that the base pay range may vary in line with our hybrid working policy and individual base pay will be determined based on job-related factors which may include knowledge, skills, experience, and location.

In addition, this role is eligible for SIE’s top-tier benefits package that includes medical, dental, vision, matching 401(k), paid time off, wellness program and coveted employee discounts for Sony products. This role also may be eligible for a bonus package. Click here to learn more.

This is a flexible role that can be remote, with varying pay ranges based on geographic location. For example, if you are based out of Seattle, the estimated base pay range for this role is listed below.

$33.25 — $45.75 USD

Equal Opportunity Statement:

Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to gender (including gender identity, gender expression and gender reassignment), race (including colour, nationality, ethnic or national origin), religion or belief, marital or civil partnership status, disability, age, sexual orientation, pregnancy or maternity, trade union membership or membership in any other legally protected category.

We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.

PlayStation is a Fair Chance employer and qualified applicants with arrest and conviction records will be considered for employment."
